,a2c,ddpg,td3,ppo,sac,mean var,dji
2024-04-22,1211201.6115757315,1193062.2841915397,1126345.2051007538,1160702.6034236678,1141890.6558810428,1043961.250297454,1143767.486106337
2024-04-23,1220620.3729511588,1197969.4175648002,1131093.8218495636,1168559.0137902792,1148680.3142024234,1044364.144740155,1151655.1469352855
2024-04-24,1223658.7792660086,1196526.7183689384,1130232.0058324127,1167067.1450830954,1146844.9545794681,1045963.8096067655,1150375.8994398606
2024-04-25,1214236.2746158927,1176138.4340023308,1118175.4916379242,1166666.9468476828,1142604.5501223758,1049912.3266143026,1139155.9326636086
2024-04-26,1215947.6112476676,1173063.0720333366,1121964.569307068,1166641.7544129065,1147763.337550278,1051223.3839079821,1143757.90547846
2024-04-29,1220365.3965793937,1179655.9694904594,1126669.3108460694,1171162.1487716616,1149496.2234832004,1054441.1478864767,1148137.654461336
2024-04-30,1198935.4383198111,1173871.1864895134,1111520.7551381378,1154565.5562612629,1129233.2921076969,1041705.6417845266,1131083.7863295658
2024-05-01,1198259.2663914054,1183688.1847881584,1112412.6621529846,1158657.0114850367,1129976.8881598667,1039304.1769067864,1133696.96100147
2024-05-02,1208429.2404171317,1183425.1578258781,1121771.994859436,1166306.8646579455,1143154.4790106968,1052764.1421819795,1143339.1619380815
2024-05-03,1214200.703151354,1202985.1154178886,1138463.1397759705,1166624.2778806933,1153237.8990393833,1073691.574498924,1156799.3599205883
2024-05-06,1222361.1313473075,1201685.6960529594,1139861.9681966095,1173176.6958974933,1161204.5559893802,1072319.3788370308,1162081.2068039284
2024-05-07,1227275.499736437,1204281.553970745,1144651.4806306153,1161529.3477350252,1163720.4026366428,1077530.2871855337,1163038.1012223714
2024-05-08,1230604.6319347708,1213102.049889019,1149122.0966889649,1170503.8670153979,1168035.5525351719,1078735.9920756624,1168186.5203369856
2024-05-09,1230322.5282551139,1222286.863483837,1160460.9864594727,1178130.0005317095,1177922.305293198,1089631.8362083598,1178097.9135495548
2024-05-10,1236195.7650677054,1225757.1494030266,1165063.0644337921,1183498.2954375932,1182778.3355685428,1093754.3850112762,1181839.0318985838
2024-05-13,1235226.552798876,1223797.0847591667,1163991.1059911042,1181372.5897332896,1178604.1093455509,1092426.6019096943,1179406.4871132376
2024-05-14,1235774.7577854483,1228112.6629795341,1166820.1929261475,1184024.3131016444,1182223.2499419407,1093850.4956327179,1183193.0550262192
2024-05-15,1255721.9364010184,1233882.3007358818,1182364.9148289948,1185496.2898356228,1195186.8295336918,1107892.2088427742,1193658.3721017723
2024-05-16,1263929.1102253287,1250173.0597500114,1181417.3009183197,1192921.1931260813,1194653.5188876346,1112099.5612117285,1192503.2054210466
2024-05-17,1267909.8073040335,1251520.5158199577,1185910.5932690888,1198684.0505673578,1199229.8642131046,1115278.374593302,1196517.488501494
2024-05-20,1267763.4631992667,1244146.6413158684,1180296.494760254,1181249.378040552,1193469.7793685154,1106891.7299471106,1190630.543181876
2024-05-21,1268458.5710254996,1246945.1395839958,1182527.9513070374,1182264.2543671664,1195307.0532981113,1111624.0044937062,1192611.1627400501
2024-05-22,1267489.5954090445,1243128.5684818535,1174069.2793290406,1179091.3764377611,1189679.1870070652,1104939.038802964,1186570.8105374754
2024-05-23,1248857.901225695,1222324.3127102165,1158166.4387185364,1155353.9694994602,1170877.17579567,1089889.3818617286,1168451.8569944075
